Time (ns),Distance (Å)
0.0,8.815316247261547
0.0025,8.944408238977774
0.005,9.099950676462093
0.0075,8.741425327213902
0.01,8.78011999578471
0.0125,9.021719169427858
0.015,9.138473603789217
0.0175,8.99930269024224
0.02,8.728357166348479
0.0225,8.874556424297372
0.025,9.020009586989682
0.0275,9.019286382348655
0.03,9.00636926614423
0.0325,9.04108825811005
0.035,8.749460502148025
0.0375,9.048563131972099
0.04,8.967416981311466
0.0425,8.834310550858374
0.045,8.956638849732851
0.0475,9.310158883885423
0.05,9.03751038765657
0.0525,9.124549771190217
0.055,9.122347008755924
0.0575,8.807453887265881
0.06,8.959357924089602
0.0625,9.098775997749133
0.065,9.273969607794042
0.0675,8.965815398092236
0.07,8.94300696840889
0.0725,8.774985952249903
0.075,8.919151723818299
0.0775,8.844495321006482
0.08,8.674020810223693
0.0825,8.872478320407286
0.085,9.103217069263204
0.0875,8.966393289733391
0.09,8.737917476559073
0.0925,8.87963109391021
0.095,9.192326467789545
0.0975,8.913713199159972
0.1,9.034349828583727
0.1025,8.630375758554312
0.105,8.787369745965654
0.1075,9.0080943150156
0.11,8.995278381108685
0.1125,8.984814555821039
0.115,8.965211342287898
0.1175,9.055594254937166
0.12,8.672102894489747
0.1225,8.838887142134302
0.125,9.011058007203024
0.1275,9.072782635932343
0.13,9.022757724645185
0.1325,8.783082823808757
0.135,8.487839326223773
0.1375,8.709705705047055
0.14,8.840396585645824
0.1425,8.781255031963404
0.145,8.896350100206446
0.1475,9.034483507460724
0.15,8.977050867029261
0.1525,8.620081581597944
0.155,8.844584697435055
0.1575,9.029643442063403
0.16,8.805594021816967
0.1625,8.551700070829979
0.165,8.881802608583135
0.1675,9.009012372834752
0.17,8.84151079606775
0.1725,9.055677628220069
0.175,8.858227884024645
0.1775,9.105984453981534
0.18,8.748766215742421
0.1825,8.659438659416583
0.185,8.885552647578335
0.1875,8.831977693662873
0.19,8.871987447582052
0.1925,8.793184848317175
0.195,9.114021677550195
0.1975,9.028452005992289
0.2,8.839247532536424
0.2025,8.833607941417329
0.205,8.944655788828593
0.2075,8.818719671551314
0.21,8.952771339221
0.2125,8.80160309505655
0.215,9.039806549159229
0.2175,9.056302024984154
0.22,8.881942743602595
0.2225,9.198963648178005
0.225,9.10053759941489
0.2275,9.046264433658925
0.23,9.073922233783824
0.2325,9.006589133542214
0.235,8.903093975485818
0.2375,8.876519545952773
0.24,9.017349826320451
0.2425,9.008491002786032
0.245,9.013376716252662
0.2475,8.793302957594475
0.25,8.808820196866904
0.2525,8.800642279145661
0.255,9.339609990114623
0.2575,8.86190131160144
0.26,8.910073161052559
0.2625,8.941339247277908
0.265,8.810143394932796
0.2675,8.844947064824622
0.27,8.99361416642384
0.2725,8.893469947426683
0.275,9.044291115283015
0.2775,9.042671254265985
0.28,8.75969096406462
0.2825,8.944119657443244
0.285,9.04633153019179
0.2875,8.89792595454876
0.29,8.946779428762982
0.2925,8.910433517984426
0.295,8.925306384144998
0.2975,9.121973635154829
0.3,8.970584163088382
0.3025,9.157835090330524
0.305,8.927356706283504
0.3075,8.954955696631353
0.31,8.87633525327778
0.3125,8.959387553246675
0.315,9.001528011731425
0.3175,8.853955860351697
0.32,8.849443063824689
0.3225,9.062776581296871
0.325,8.863004151065008
0.3275,9.080468773906121
0.33,8.865418270979816
0.3325,8.804835749830232
0.335,8.816534580562518
