Frames,Distances (Å)
1338,9.468812033081136
1339,9.480088202162628
1489,9.333691321224915
2862,8.623898699480177
3354,10.083281926822757
4866,10.458461114624138
4868,10.26791550803278
4872,10.914568499859323
4881,10.879085003638355
6871,11.408528326075832
6872,10.738389085800597
6873,10.804770735218709
6874,10.48405741456261
6876,12.120514551148972
6878,11.153146779593667
6879,11.916723643996717
6880,10.758005320980363
6881,10.27674484907928
6882,10.68198367068573
6883,10.614581987521627
6885,10.107237469522172
6888,10.184387546849896
6890,10.363194452782214
6891,10.418051886106989
6896,10.355353548961453
7968,9.494386401135792
